year,main_max_drawdown,benchmark_max_drawdown,main_max_drawdown_pct,benchmark_max_drawdown_pct,label
2016,-0.06774450260437881,-0.13969850846198506,-6.774450260437881,-13.969850846198506,2016
2017,-0.15349743867941013,-0.197427328925329,-15.349743867941012,-19.7427328925329,2017
2018,-0.11227004513207572,-0.5603844535750566,-11.227004513207572,-56.038445357505665,2018
2019,-0.039783286874808144,-0.3027971595720813,-3.9783286874808144,-30.279715957208133,2019
2020,-0.14794681641202956,-0.3755402801502914,-14.794681641202956,-37.55402801502914,2020
2021,-0.09993187481221621,-0.24376631799220594,-9.993187481221621,-24.376631799220593,2021
2022,-0.1392591537219322,-0.6270169419283524,-13.92591537219322,-62.70169419283525,2022
2023,-0.08567052155619725,-0.1828727409195905,-8.567052155619725,-18.28727409195905,2023
2024,-0.10489971210331372,-0.27046758292369255,-10.489971210331372,-27.046758292369255,2024
2025,-0.1445783665132786,-0.3688102671544662,-14.45783665132786,-36.881026715446616,2025
2026,-0.04756548223976542,-0.0583786856882309,-4.756548223976543,-5.83786856882309,2026 YTD
