year,main_max_drawdown,main_max_drawdown_pct,label
2016,-0.056954605631998834,-5.695460563199884,2016
2017,-0.11650449035692056,-11.650449035692056,2017
2018,-0.08911130456284211,-8.91113045628421,2018
2019,-0.029919924934108222,-2.991992493410822,2019
2020,-0.11254823969285266,-11.254823969285265,2020
2021,-0.07558778663116406,-7.558778663116406,2021
2022,-0.10585542544496007,-10.585542544496008,2022
2023,-0.06484457977925484,-6.484457977925484,2023
2024,-0.07921111875194853,-7.921111875194853,2024
2025,-0.1096056598265499,-10.960565982654991,2025
2026,-0.035703395287325135,-3.5703395287325135,2026 YTD
